This is a test - put something more meaningful here
    1  : Daily records
    1  : First day of record
    1  : First month of record
 2010  : First year of record

  Tmin (C)   Tmax (C)
=======================
29.88	29.88
30.33	30.33
32.32	32.32
32.08	32.08
32.62	32.62
32.13	32.13
31.01	31.01
32.11	32.11
31.72	31.72
31.39	31.39
30.04	30.04
30.28	30.28
31.37	31.37
29.82	29.82
29.71	29.71
31.75	31.75
30.61	30.61
31.41	31.41
31.78	31.78
27.37	27.37
31.56	31.56
29.93	29.93
29.02	29.02
28.49	28.49
28.78	28.78
28.66	28.66
30.05	30.05
29.39	29.39
26.25	26.25
29.92	29.92
31.59	31.59
28.70	28.70
29.16	29.16
28.86	28.86
29.36	29.36
29.81	29.81
30.81	30.81
29.20	29.20
29.93	29.93
29.45	29.45
28.27	28.27
28.53	28.53
30.60	30.60
29.57	29.57
28.75	28.75
28.51	28.51
29.55	29.55
29.36	29.36
27.95	27.95
27.36	27.36
27.95	27.95
28.92	28.92
28.31	28.31
28.30	28.30
30.15	30.15
26.39	26.39
27.10	27.10
28.68	28.68
29.27	29.27
28.58	28.58
27.71	27.71
28.11	28.11
29.74	29.74
28.97	28.97
26.82	26.82
28.47	28.47
28.77	28.77
28.03	28.03
28.83	28.83
27.79	27.79
25.31	25.31
27.85	27.85
29.28	29.28
29.13	29.13
29.77	29.77
27.81	27.81
28.41	28.41
27.65	27.65
27.45	27.45
28.57	28.57
27.51	27.51
28.75	28.75
28.53	28.53
27.89	27.89
26.90	26.90
27.46	27.46
28.64	28.64
29.61	29.61
28.47	28.47
28.92	28.92
28.46	28.46
29.09	29.09
28.36	28.36
28.06	28.06
28.13	28.13
28.95	28.95
26.73	26.73
27.60	27.60
27.86	27.86
28.27	28.27
28.97	28.97
28.80	28.80
25.32	25.32
28.65	28.65
29.71	29.71
27.07	27.07
26.68	26.68
25.85	25.85
27.09	27.09
26.06	26.06
28.34	28.34
27.80	27.80
28.41	28.41
28.80	28.80
27.62	27.62
28.74	28.74
27.69	27.69
27.38	27.38
29.71	29.71
27.90	27.90
28.63	28.63
27.97	27.97
28.18	28.18
28.75	28.75
26.17	26.17
29.61	29.61
28.48	28.48
28.69	28.69
28.40	28.40
29.41	29.41
29.16	29.16
29.03	29.03
29.27	29.27
29.82	29.82
26.28	26.28
28.66	28.66
26.38	26.38
29.20	29.20
29.94	29.94
26.69	26.69
25.14	25.14
28.56	28.56
29.56	29.56
28.36	28.36
29.11	29.11
31.42	31.42
30.53	30.53
29.10	29.10
30.73	30.73
28.32	28.32
29.82	29.82
29.37	29.37
30.48	30.48
29.50	29.50
28.98	28.98
30.67	30.67
30.32	30.32
28.03	28.03
28.32	28.32
30.52	30.52
30.36	30.36
28.70	28.70
31.32	31.32
32.23	32.23
30.77	30.77
30.17	30.17
26.52	26.52
30.00	30.00
31.41	31.41
30.23	30.23
29.74	29.74
29.15	29.15
28.74	28.74
31.04	31.04
30.16	30.16
30.17	30.17
29.17	29.17
31.28	31.28
29.72	29.72
29.55	29.55
30.60	30.60
30.41	30.41
30.47	30.47
29.43	29.43
30.63	30.63
28.55	28.55
31.39	31.39
30.79	30.79
30.37	30.37
31.54	31.54
30.50	30.50
30.80	30.80
30.85	30.85
31.80	31.80
31.38	31.38
30.84	30.84
31.35	31.35
31.64	31.64
27.21	27.21
30.17	30.17
30.76	30.76
31.49	31.49
31.43	31.43
31.13	31.13
30.85	30.85
31.39	31.39
31.67	31.67
31.26	31.26
31.81	31.81
32.01	32.01
31.87	31.87
31.47	31.47
30.67	30.67
29.84	29.84
30.09	30.09
